GEO_PICT;INDICATOR;OBS_VALUE
CK;POPULATION;14778
CK;LANDAREA;240
CK;POPDENSITY;62
FJ;POPULATION;919430
FJ;LANDAREA;18270
FJ;POPDENSITY;50
FM;POPULATION;112142
FM;LANDAREA;700
FM;POPDENSITY;160
KI;POPULATION;130498
KI;LANDAREA;810
KI;POPDENSITY;161
MH;POPULATION;40123
MH;LANDAREA;180
MH;POPDENSITY;223
NC;POPULATION;287138
NC;LANDAREA;18280
NC;POPDENSITY;16
NR;POPULATION;11847
NR;LANDAREA;20
NR;POPDENSITY;592
NU;POPULATION;1869
NU;LANDAREA;260
NU;POPDENSITY;7
PF;POPULATION;280406
PF;LANDAREA;3471
PF;POPDENSITY;81
PG;POPULATION;10203180
PG;LANDAREA;452860
PG;POPDENSITY;23
PW;POPULATION;17805
PW;LANDAREA;460
PW;POPDENSITY;39
SB;POPULATION;781093
SB;LANDAREA;27990
SB;POPDENSITY;28
TO;POPULATION;105081
TO;LANDAREA;720
TO;POPDENSITY;146
TV;POPULATION;10042
TV;LANDAREA;30
TV;POPDENSITY;335
VU;POPULATION;313075
VU;LANDAREA;12190
VU;POPDENSITY;26
WS;POPULATION;215295
WS;LANDAREA;2780
WS;POPDENSITY;77
